SiteID,LayerID,Country,Period,Era,A,B,C1,C2,C3,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,H,I,Latitude,Longitude
1017298,3044131,"Korea, Republic of",UP,UP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.926,127.1078
1017298,3044142,"Korea, Republic of",MP,MP,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.926,127.1078
1017298,3044153,"Korea, Republic of",MP,MP,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,36.926,127.1078
1017324,3044201,"Korea, Republic of",UP,UP,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,127.6833
1017324,3044212,"Korea, Republic of",UP,UP,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,127.6833
1017324,3044223,"Korea, Republic of",MP,MP,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,127.6833
1017324,3044234,"Korea, Republic of",MP,MP,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,37.9,127.6833
1017346,3044256,"Korea, Republic of",UP,UP,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,35.6472,127.2228
1017405,3045693,China,MP,MP,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,39.6878,115.9259
1017416,3045707,China,UP,UP,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6884,115.9251
1017472,3045752,China,MP,MUP,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9167,118.6667
1017483,3045763,China,UP,UP,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,40.2333,114.6833
